feature,importance
nb_www,0.0872193453554064
length_hostname,0.08612955714081182
shortest_word_host,0.06405829345447273
phish_hints,0.06127378722976573
nb_dots,0.05389224118873244
longest_words_raw,0.049990875552066424
nb_slash,0.0484466311850192
nb_hyphens,0.04727021885169961
domain_in_brand,0.03821830876462627
avg_word_path,0.03813766836101422
length_words_raw,0.03550076649233233
shortest_word_path,0.03364226395598962
ratio_digits_url,0.03347074731653265
avg_words_raw,0.03238408399487525
length_url,0.029877769474333037
char_repeat,0.02860319364855968
domain_with_copyright,0.028096250291273463
shortest_words_raw,0.028090033122389287
nb_subdomains,0.02785767484274402
avg_word_host,0.02783798734410084
nb_extCSS,0.025383594071790867
prefix_suffix,0.02449473031243542
nb_qm,0.024139497858705
nb_underscore,0.022417368161404737
domain_in_title,0.02107520751276752
longest_word_path,0.01892106252391386
longest_word_host,0.018362504242577415
https_token,0.0150413435241353
nb_eq,0.011681217144123367
empty_title,0.009489246449757047
shortening_service,0.008718978019810492
ratio_digits_host,0.008239091713294329
nb_semicolumn,0.007754027051883945
suspecious_tld,0.006867317868180862
nb_at,0.005403892892222686
statistical_report,0.005108389007318265
nb_com,0.00440818400952594
tld_in_path,0.004047521978582154
nb_and,0.003990918247794752
login_form,0.003154666935752175
ip,0.003134375503684623
nb_space,0.002368385081363158
nb_percent,0.002157262481143789
abnormal_subdomain,0.001616985073599153
nb_colon,0.0010371264278061904
brand_in_subdomain,0.0009302885024674618
tld_in_subdomain,0.0007644701842984704
nb_comma,0.0005771860961530661
http_in_path,0.0005354305567172672
nb_tilde,0.0004983585215193998
popup_window,0.000470805112272501
port,0.0003158819302916527
nb_dslash,0.00030343029804430683
brand_in_path,1.883905744780961e-05
nb_or,0.0
nb_star,0.0
punycode,0.0
nb_dollar,0.0
path_extension,0.0
submit_email,0.0
onmouseover,0.0
iframe,0.0
sfh,0.0
right_clic,0.0
