url,status
http://www.jp519.com/,0
http://www.progarchives.com/album.asp?id=61737,1
https://www.velocidrone.com/,0
http://signin.eday.co.uk.ws.edayisapi.dllsign.inusingsslpuseridcopartnerid2siteid.zdfxx949xyss1pnbh0soabfdzgdh2kppnu.reippl.com/,1
http://www.tutorialspoint.com/dbms/,0
http://www.avevaconstruction.com/blesstool/image.htm,1
http://www.domarada.sk,0
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b5aed586dda5d21/?cmd=_update&dispatch=b5aed586dda5d219f&locale=_US,1
https://www.prepaid-karte-vergleich.de/,0
https://www.authpro.com/auth/ubabankng/?action=reg,1
https://www.youtube.com/channel/UCLSjw7g5U48jgtjaeyjfwjQ,0
http://littlee.com.au/alibaba/login.alibaba.com.php,1
http://www.webopedia.com/TERM/C/CLI.html,0
http://www.grouper.in/wp-includes/js/tinymce/etisalat.ae/,1
https://www.allmenus.com/nc/charlotte/89187-mimosa-grill/menu/,0
http://nandabolsas.com.br/forum/control.html,1
http://www.makeuseof.com/tag/p2p-peer-peer-file-sharing-works/,0
http://betasus7.blogspot.com,1
http://www.picfront.org/,0
https://fieldstonerp-my.sharepoint.com/:b:/p/danfields/EZ7SH1xQSDpMtP4DleQT5tUBXo4sRqDgcRy807wUg7VFFg?e=Mz09kC,1
