url	label	label_name	split	source_group
https://accounts.ft.com/login?location=https%3A%2F%2Fwww.ft.com	0	benign	test	host:accounts.ft.com
http://10.0.2.2/phishing-kit/b0475f55bc4292f41384b8e6e530a829/c/index.php	1	phishing	test	kit:b0475f55bc4292f41384b8e6e530a829
https://accounts.user.id/auth/realms/user-id/protocol/openid-connect/auth?response_type=code&client_id=cms-sso&scope=openid&state=DagEX_woEY7rvULxMVqe1Tp-ehEsrY5lLg8yvyLKIR4%3D&redirect_uri=https://www.merkur.de/sso/login/oauth2/code/user-id&nonce=AHbKMl24SPcWVO3XY0v2uvplW5r5wDHcjlQOXi4aZqw&code_challenge=Gix4SnmAQZoMiLrPhHqKR_VntVAGe-Z5bsh96oh8OEw&code_challenge_method=S256&articleUrl=https%3A%2F%2Fwww.merkur.de%2F&clientId=268&lang=de&source=client_login_web&transientId=dc729ed2-7d52-21ed-4eca-4ac8aba67138	0	benign	test	host:accounts.user.id
http://10.0.2.2/phishing-kit/www.businessdomain101.com_chase2021.zip_de70726655411ed98225/chase/index.php	1	phishing	test	kit:www.businessdomain101.com_chase2021.zip_de70726655411ed98225
https://auth.nextcloud.com/auth/realms/master/protocol/openid-connect/auth?response_type=code&scope=openid%20profile&client_id=new.nextcloud.com&state=ivJ0G5egiy2Uc1upXbOOCAzLJn8&redirect_uri=https%3A%2F%2Fnextcloud.com%2Fwp-admin%2Fredirect_uri&nonce=yNfCZ2saYb-eFB0mNP9ND816WkLS1vUbfUAqhjETTOI	0	benign	test	host:auth.nextcloud.com
http://10.0.2.2/phishing-kit/1bf2814b0cd159fbd76c07bb27951cf3/mbt/index.php	1	phishing	test	kit:1bf2814b0cd159fbd76c07bb27951cf3
https://auth.wyze.com/login	0	benign	test	host:auth.wyze.com
http://10.0.2.2/phishing-kit/fd1e42cd4cf95271700ee208f015ce2b/Stream/forms-basic.html	1	phishing	test	kit:fd1e42cd4cf95271700ee208f015ce2b
https://console.id5.io/login/auth	0	benign	test	host:console.id5.io
http://10.0.2.2/phishing-kit/a08acc3b773ecec26de8c2f8a2418031/ScamPage-master/twitter/login.html	1	phishing	test	kit:a08acc3b773ecec26de8c2f8a2418031
https://creativecommons.org/wp-login.php	0	benign	test	host:creativecommons.org
http://10.0.2.2/phishing-kit/07bfb80c4c7ebb18f520823e9b541389/sh/I489c5/royalbank/index.php	1	phishing	test	kit:07bfb80c4c7ebb18f520823e9b541389
https://darkero.com/wp-login.php	0	benign	test	host:darkero.com
http://10.0.2.2/phishing-kit/16da7f6af17275bfb553410794e85e84/sh/I489c5/royalbank/index.php	1	phishing	test	kit:16da7f6af17275bfb553410794e85e84
https://disqus.com/profile/login/	0	benign	test	host:disqus.com
http://10.0.2.2/phishing-kit/2385748bc949bdccc7d9e05d7fd3a493/sh/I489c5/royalbank/index.php	1	phishing	test	kit:2385748bc949bdccc7d9e05d7fd3a493
https://financeiro.hostgator.com.br/	0	benign	test	host:financeiro.hostgator.com.br
http://10.0.2.2/phishing-kit/6ef6802f016d45336d36d880e9f0fbc3/etc/pages/RBC/authentication/html/roblogin.html	1	phishing	test	kit:6ef6802f016d45336d36d880e9f0fbc3
https://giphy.com/login	0	benign	test	host:giphy.com
http://10.0.2.2/phishing-kit/bbacf17a6f27b02b295d1ff5b509a4e5/sh/I489c5/royalbank/index.php	1	phishing	test	kit:bbacf17a6f27b02b295d1ff5b509a4e5
https://imgur.com/signin	0	benign	test	host:imgur.com
http://10.0.2.2/phishing-kit/netflix-membership.ca_juice2.zip_d1de737ba72d31fba3af/banks/directing/royalbank/index.php	1	phishing	test	kit:netflix-membership.ca_juice2.zip_d1de737ba72d31fba3af
https://ipinfo.io/login	0	benign	test	host:ipinfo.io
http://10.0.2.2/phishing-kit/webfamily.com.br_conatactee-compte-infos.zip_03441d7bdef68f6d853e/conatactee-compte-infos/index.php	1	phishing	test	kit:webfamily.com.br_conatactee-compte-infos.zip_03441d7bdef68f6d853e
https://jwplayer.com/wp-login.php	0	benign	test	host:jwplayer.com
http://10.0.2.2/phishing-kit/1a74d8fc3a3a6c254cf28dba93effc0a/chasefix/secure/3001f8b5b/myaccount.php	1	phishing	test	kit:1a74d8fc3a3a6c254cf28dba93effc0a
https://kkstories.com/	0	benign	test	host:kkstories.com
http://10.0.2.2/phishing-kit/240fdf43440387dcf16499c04763a671/chasefix/secure/home/myaccount.php	1	phishing	test	kit:240fdf43440387dcf16499c04763a671
