url	status
http://www.slideserve.com/ronli/software-as-a-service-saas-strategies-for-hosting-providers	0
http://kamazcentr.nichost.ru/media/k2	1
https://www.clinicapodologicahnosvicente.com/	0
https://karim-gawad.com/wp-admin/css/colors/coffee/db/emiratee.htm	1
http://www.mybjj.com.au/	0
http://rapline.hu/wp-content/plugins/ppus/cgi/u.php	1
https://www.sammonsfinancialgroup.com/	0
http://mail.meetingsguide.nl/~u43730p39181/pki-validation	1
https://www.merriam-webster.com/dictionary/standard%20error	0
http://www.union.gr/components/MIEN/index.html	1
http://www.jkang.com/CIS110/ch07_bis/sld015.htm	0
https://riqri733r.ts.r.appspot.com/	1
https://blog.roku.com/blog/2016/08/18/discovery-tlc-animal-planet-science-discovery-investigation-now-streaming-on-the-roku-platform/	0
http://pruprioritas.net/wp-includes/images/smilies/	1
http://www.thefreedictionary.com/Luftwaffe	0
http://www.goodhopeservices.com/update/	1
http://universal_en_ru.academic.ru/169585/Internet_Access_Point	0
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/a9e79a8f2a2bff8/?cmd=_update&dispatch=a9e79a8f2a2bff80c&locale=_US	1
http://www.rfwireless-world.com/Terminology/forward-error-correction.html	0
http://secureupdate.appleld.com.duilawyeryork.com/ap/ea3465dd9f3750c	1
http://www.tulsarealgoodfood.org/	0
http://www.alqurancampus.com/wp-admin/network/network/dropbox2mpage/db/view/download.html	1
http://www.webopedia.com/TERM/C/communications_protocol.html	0
http://www.siliguribaghajatinsportingclub.com/freemobile/France-FreeMobile/83d8d97189c32d56805d1b31ada49169/moncompte	1
http://sniz.porn	0
https://pphwm.app.link/v5ohNm4CE5?platform=hootsuite	1
http://cryptomining-blog.com/tag/video-card-mining/	0
https://glutino-v2.launchpaddev.com/wp-content/plugins/plugins/sharPnt/ShareFax/verification.php	1
http://www.minus40.info/ice/dracula-old.html	0
http://user7770001255.el.r.appspot.com/ver.html	1
http://download.cnet.com/s/internet-ftp/windows/	0
http://pagesyouraccount.cloudns.asia/check.php	1
http://st-clemens.dk/da/home/	0
http://www.gameplaylabs.com/newuser/fabbc6a1c5734ea09ca150004b35a440/?pid=6&amp;sub_id=a-0-2895-9068-7024-0-223-0&amp;source_id=5DD12362493dbdbb91705M0K3&amp;iid=whitesmoke&amp;uzid=9068	1
http://www.patwarner.com/router_table.html	0
https://suspended-profiles.blogspot.com/	1
http://www.powershow.com/view/4f79b-YjI5M/Multiprotocol_Label_Switching_The_future_of_IP_Backbone_Technology_powerpoint_ppt_presentation	0
http://smndazi.000webhostapp.com/englishhss/englishhss/crypt/connect.html	1
https://www.computerhope.com/issues/ch000423.htm	0
https://xurl.es/l0f93	1
http://www.yourdictionary.com/legislative-session	0
https://sapient-flare-279107.df.r.appspot.com/jim@thejimburkefamily.com	1
https://www.facebook.com/savers	0
http://myckck.in/redirect.php?id=j4gww2	1
https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1441	0
https://betasusgirmekicin.blogspot.com/	1
https://www.grundschulkoenig.de/	0
https://just-genius-278921.df.r.appspot.com/	1
http://www.northstarchevrolet.com/	0
http://honda4fun.com/plugins/Oregonstate.html	1
http://www.oopsmovs.com/categories/close%20up	0
