url,crp_detected,dummy_filled,verdict,time_ms
https://nid.naver.com/nidlogin.login?mode=form&url=https%3A%2F%2Fnid.naver.com%2Fuser2%2Fapi%2Froute%3Fm%3DroutePcMyInfo,true,true,SAFE,21863
https://login.coupang.com/login/login.pang?rtnUrl=https%3A%2F%2Fwww.coupang.com%2Fnp%2Fpost%2Flogin%3Fr%3Dhttp%253A%252F%252Fwww.coupang.com%252F,true,true,SAFE,17421
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.google.com%2F%3Fclient%3Dsafari%26channel%3Diphone_bm&dsh=S1344220836%3A1769525782190565&ec=futura_exp_og_so_72776762_e&hl=ko&ifkv=AXbMIuDi_gfe_I9C21txw1NjOO_vFPqwuhYUKjhhZflBOFF8sDpqzFnSs_tztj2DKxCF4qjth-_v&passive=true&flowName=GlifWebSignIn&flowEntry=ServiceLogin,true,true,PHISHING,7771
https://github.com/login,true,true,SAFE,21180
https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=639051266645820369.NWZhMjNiNmQtMzRmOS00YWU3LTk2YjItZGU0YjUzMTZiY2JhZTAxZmZiMGQtYjA1YS00ODMyLThiNTctMjNjZmI1N2NiMDc4&ui_locales=ko-KR&mkt=ko-KR&client-request-id=43a847da-623a-4551-a230-ed24d661d1a1&state=YHaVr6NGwF83DopVn8s2k0yIhaxDeSl2i1arpMPRNY9-8rUIgb8D7cWhxUXuM1IM8zjlzxcyWyVgMPihfBDSugWcg__BDDrtuBjJhviuWqUjvvEzdudeKqbLPjOlW88WUA0E5OC8pNt7nzCbQ2RdC2IxM9Q_Entab5qCgZvT9YiTSTlJYsJZ8PFPya2NZBqByA86T8VaM6MI7IJHohwedFKeMeTxNZ8pVXjSGgpTGCUrbbbtlQ3RXqX0b-nKSPqdqr_9Jx8lNT5M1gDJi8xKJK2cZ9UK1UO8kfHdj3QCqdYCGXhtMfUZb9hzIdTms6nxRYHVGG3yu_HudBiWdAVYIPB1lXkB893858QjVUT5corWex8_I34hrRPM-UJaJCi5IUDT0N9jLa2dKdhieGhWybwA2Bf6wwI4pJ1hFMnU2mQeQAbz6fPxKfQhNyp4Xi17xm3KuJs6MeSiIopdcaMslQ&x-client-SKU=ID_NET8_0&x-client-ver=8.5.0.0,true,true,PHISHING,10042
https://www.facebook.com/,true,true,SAFE,15872
https://store.steampowered.com/login/?redir_ssl=1,true,true,PHISHING,13034
https://accounts.kakao.com/login/?continue=https%3A%2F%2Fkauth.kakao.com%2Foauth%2Fauthorize%3Fclient_id%3D53e566aa17534bc816eb1b5d8f7415ee%26prompt%3Dselect_account%26state%3D16f8c236-2983-4cc3-9ddd-0dbc8574b099%26redirect_uri%3Dhttps%253A%252F%252Flogins.daum.net%252Faccounts%252Foauth%252Fkakao%252Fcallback%26response_type%3Dcode%26auth_tran_id%3D~ekrrRm5DCSx0JB1byLCYS.ZnyTJtTujzeSeLgljs5RO3D7hBEe2SQOgCmTZ%26ka%3Dsdk%252F2.7.6%2520os%252Fjavascript%2520sdk_type%252Fjavascript%2520lang%252Fko-KR%2520device%252FWin32%2520origin%252Fhttps%25253A%25252F%25252Flogins.daum.net%2520app_key%252F53e566aa17534bc816eb1b5d8f7415ee%26is_popup%3Dfalse%26through_account%3Dtrue#login,true,true,SAFE,14921
https://auth.wikimedia.org/kowiki/wiki/%ED%8A%B9%EC%88%98:%EB%A1%9C%EA%B7%B8%EC%9D%B8?useformat=desktop&usesul3=1&returnto=%EC%9C%84%ED%82%A4%EB%B0%B1%EA%B3%BC%3A%EB%8C%80%EB%AC%B8&centralauthLoginToken=555e38a64186b3cbd8516175f7052e9a,true,true,SAFE,14769
https://login.yahoo.com/?.lang=en-US&src=homepage&.done=https%3A%2F%2Fwww.yahoo.com%2F%3Fguccounter%3D1%26guce_referrer%3DaHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8%26guce_referrer_sig%3DAQAAAAyuf3N32C8jM69NYb0BambEN8ofNQE-r-7SFBxlDOydMufYc5UT01szjAQ2PQbBTbihhdpfXrAZb3uRR779_UIgxriauhoXlKcwGABdX9u28lNiZXaxBaAyf8ctelVT0OY4uDpdHO3PkBycHAeZrCniafU7monff7_4L9sG7WV3&pspid=2023538075&activity=ybar-signin,true,true,PHISHING,9312
https://www.amazon.com/-/ko/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,true,true,SAFE,18043
https://accounts.kt.com/wamui/AthWeb.do?urlcd=https://my.kt.com/main.jsp,true,true,SAFE,31904
https://www.netflix.com/kr-en/login?serverState=%7B%22realm%22%3A%22growth%22%2C%22name%22%3A%22IDENTIFICATION%22%2C%22clcsSessionId%22%3A%222e0c8efb-57da-4f65-b2eb-5d8ffba0cdeb%22%2C%22sessionContext%22%3A%7B%22session-breadcrumbs%22%3A%7B%22funnel_name%22%3A%22loginWeb%22%7D%7D%7Dp,true,true,SAFE,18586
https://www.roblox.com/login,true,true,SAFE,32159
https://auth.fandom.com/signin?flow=060c08ce-d801-4d7e-aae6-b5c4660c9b97,true,true,SAFE,15687
https://accounts.spotify.com/login?continue=https%3A%2F%2Fopen.spotify.com%2F,true,true,SAFE,15687
https://www.paypal.com/signin?country.x=KR&locale.x=en_US&langTgl=en,true,true,SAFE,15687
https://account.booking.com/sign-in,true,true,SAFE,22167
https://www.hotels.com/login?,true,true,SAFE,22167
https://zoom.us/signin#/login,true,true,PHISHING,19374
https://myaccount.nytimes.com/auth/login?,true,true,SAFE,22167
https://www.disneyplus.com/identity/login,true,true,,SAFE,19374
https://login.11st.co.kr/auth/v2/login?isPopup=false&adultLoginRequired=N&isNonMemberBuy=false&_ds=rdflt1769552379139&returnURL=https%3A%2F%2Fbuy.11st.co.kr%2Fmy11st%2Forder%2FmyTmall.tmall%3Fmethod%3DgetMyTmallMain,true,true,SAFE,16319
https://m.ok.ru/cdk/st.cmd/main/st.lgi/4EOx7Affh3qf/_prevCmd/mainLanding/tkn/1625,true,true,SAFE,25568
https://namu.wiki/member/login?,true,true,SAFE,24821
https://signin.ebay.com/signin/,true,true,SAFE,14873
https://www.instagram.com/accounts/login/?next=%2F&source=mobile_nav,true,true,SAFE,14873
https://verified.usps.com/login?goto=https%3A%2F%2Fwww.usps.com%2F&_gl=1*2nv3s4*_ga*NDg0NjgzODY3LjE3Njk1NTU0ODc.*_ga_QM3XHZ2B95*czE3Njk1NTU0ODYkbzEkZzEkdDE3Njk1NTU0OTckajQ5JGwwJGgw,true,true,SAFE,14873
https://identity.walmart.com/account/login?client_id=5f3fb121-076a-45f6-9587-249f0bc160ff&redirect_uri=https%3A%2F%2Fwww.walmart.com%2Faccount%2FverifyToken&scope=openid+email+offline_access&tenant_id=elh9ie&state=%2F&code_challenge=AfEDzICak-T7dysmI8U_UDIadqmzYDeEf_Ukv0qIUdA,true,true,SAFE,14135
https://www.quora.com/login,true,true,SAFE,13324
https://secure.indeed.com/auth?hl=ko_KR&co=KR&continue=https%3A%2F%2Fkr.indeed.com%2F%3Fr%3Dus&tmpl=desktop&from=gnav-util-homepage&jsContinue=https%3A%2F%2Fonboarding.indeed.com%2Fonboarding%3Fhl%3Dko_KR%26co%3DKR%26from%3Dgnav-homepage&empContinue=https%3A%2F%2Faccount.indeed.com%2Fmyaccess,true,true,SAFE,13202
https://www.cricbuzz.com/premium-subscription/user/login,true,true,SAFE,14430
