url_length,hostname_length,ip,total_of.,total_of-,total_of@,total_of?,total_of&,total_of=,total_of_,total_of~,total_of%,total_of/,total_of*,total_of:,"total_of,",total_of;,total_of$,total_of_www,total_of_com,total_of_http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,login_form,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
22,13,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,0,0,0,0,2,3,3,3,0,6,6,0,4.5,4.5,0.0,0,0,0,0,0,0,206,0.970873786,0.029126214,0,0.166666667,0.0,0,0,94.28571429,95.45454545,4.545454545,0,0,70.0,0,0,0,1,1,0,1032,7011,907586,0,0,4,0
35,26,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,18,18,0,10.5,10.5,0.0,0,0,0,0,0,0,111,0.720720721,0.279279279,1,0.064516129,0.258064516,0,1,92.30769231,0.0,100.0,0,0,61.53846154,0,0,0,1,1,0,985,8145,0,0,0,3,0
21,12,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,8,0,8,8,0,8.0,8.0,0.0,0,0,0,0,0,0,149,0.067114094,0.932885906,1,0.0,0.0,0,1,55.55555556,0.0,100.0,0,0,66.66666667,0,0,0,1,1,0,265,1561,133791,0,0,1,1
20,13,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,0,8,8,0,4.5,4.5,0.0,0,0,0,0,0,0,36,0.583333333,0.416666667,0,0.2,0.066666667,0,1,60.0,0.0,0.0,0,0,53.84615385,0,0,0,0,1,1,0,4003,355294,0,0,2,0
94,28,1,3,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0.234042553,0.0,0,0,0,0,0,3,1,0,0,0,0,0,7,4,3,3,6,32,7,32,10.85714286,5.25,18.33333333,0,0,0,0,0,0,31,0.032258065,0.967741935,0,0.1,0.033333333,0,0,0.0,0.0,100.0,0,0,0.0,0,0,0,0,1,0,79,1016,1211946,0,1,2,1
64,14,1,3,0,0,1,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0.203125,0.0,0,0,0,0,0,3,0,0,0,0,1,0,7,7,3,3,4,15,6,15,6.571428571,4.5,7.4,0,0,0,0,0,0,144,0.895833333,0.104166667,0,0.4,0.066666667,0,0,97.36842105,100.0,0.0,0,0,67.44186047,0,0,0,0,1,0,1653,7478,629,0,0,7,0
41,20,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,4,16,4,16,16,7,9.0,16.0,5.5,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,1,1,0,0,113,4270,0,0,1,0,1
40,25,1,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0.2,0.32,0,0,0,0,1,2,0,0,0,0,0,0,3,1,5,10,5,11,11,5,8.666666667,10.5,5.0,0,0,0,0,0,0,8,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,122,1338,22211,0,1,6,1
112,16,1,3,2,0,0,0,0,8,0,0,6,0,1,0,0,0,1,0,0,1,0.035714286,0.0,0,0,0,0,0,3,1,0,0,0,0,0,17,5,2,3,2,9,8,9,5.0,5.5,4.933333333,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,1,1,1,0,297,5182,2693631,0,0,3,0
33,16,1,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,4,6,3,3,3,8,8,4,4.5,5.5,3.5,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,1,1,0,0,321,43,0,0,0,0,1
30,23,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,19,19,0,19,19,0,19.0,19.0,0.0,0,0,0,0,0,0,184,0.913043478,0.086956522,0,0.625,0.0,0,0,91.66666667,0.0,0.0,0,0,46.15384615,0,0,0,1,1,0,363,2,0,0,1,0,1
20,12,1,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0.45,0.75,0,0,1,1,1,3,0,0,0,0,2,1,8,0,1,1,1,3,3,3,2.25,2.25,2.25,0,0,0,0,0,2,163,0.245398773,0.754601227,4,0.024390244,0.0,1,1,4.081632653,0.0,100.0,0,0,29.62962963,0,0,0,1,1,1,0,4003,0,1,1,0,1
89,81,1,8,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0.247191011,0.271604938,0,0,0,1,0,3,1,0,0,0,0,0,9,4,1,1,0,32,32,0,7.777777778,7.777777778,0.0,0,0,1,0,0,2,1,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,100.0,0,0,0.0,0,0,0,0,0,0,274,4003,0,0,1,0,1
53,20,1,3,0,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,1,0,6,4,2,3,2,13,13,8,6.166666667,8.0,5.25,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1,0,0,221,1605,0,0,1,0,1
92,25,1,5,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,1,0.25,0.0,0,0,0,0,0,3,0,0,0,0,0,0,8,5,2,2,2,32,11,32,9.125,6.666666667,10.6,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,1,1,0,0,292,1534,0,0,1,0,1
35,15,1,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,3,3,4,7,7,6,5.0,5.0,5.0,0,1,0,0,0,0,55,0.472727273,0.527272727,0,0.137931034,0.0,0,1,56.0,0.0,0.0,0,0,0.0,0,0,0,0,1,0,208,5635,2,0,0,10,0
34,14,1,2,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,0,0,1,0,4,3,3,3,3,7,6,7,4.75,4.5,5.0,0,0,0,0,0,0,108,0.416666667,0.583333333,4,0.142857143,0.031746032,0,1,35.71428571,63.63636364,36.36363636,0,0,12.5,0,0,0,0,0,0,522,8973,11722,0,0,6,0
30,22,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,15,15,0,9.0,9.0,0.0,0,0,0,0,0,0,12,0.916666667,0.083333333,0,1.0,0.0,0,0,100.0,100.0,0.0,0,0,92.85714286,0,0,0,1,1,0,0,4003,378774,0,0,3,0
22,11,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,2,4,2,4,4,2,3.0,4.0,2.0,0,0,0,0,0,0,58,0.844827586,0.155172414,0,0.222222222,0.222222222,0,0,75.0,95.83333333,4.166666667,0,0,58.82352941,0,0,0,0,1,0,276,819,4514903,0,1,0,1
206,12,1,3,1,0,1,2,3,1,0,0,4,0,1,0,2,0,0,0,0,1,0.349514563,0.0,0,0,0,0,0,3,1,0,0,0,2,0,12,14,2,5,2,64,5,64,15.08333333,5.0,16.0,3,0,0,0,0,0,25,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0.0,0,0,100.0,0,0,0,0,1,0,0,2018,7405079,0,1,0,1
27,19,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,157,0.923566879,0.076433121,1,0.166666667,0.0,0,1,90.0,95.83333333,4.166666667,0,0,12.5,0,0,0,1,1,0,124,4624,343636,0,0,4,0
66,15,0,3,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0.151515152,0.0,0,0,0,0,0,3,0,0,0,0,0,0,9,2,2,4,2,10,6,10,5.111111111,5.0,5.142857143,0,1,0,0,0,0,40,0.95,0.05,0,0.5,0.5,0,0,100.0,100.0,0.0,0,0,77.77777778,1,0,0,1,1,0,132,11555,609,0,0,7,0
22,13,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,2,0,1,0,0,1,0,2,3,3,3,0,5,5,0,4.0,4.0,0.0,0,0,0,0,0,0,237,0.966244726,0.033755274,0,0.25,0.125,1,0,100.0,100.0,0.0,0,0,36.36363636,0,0,0,0,0,0,220,4527,0,0,0,4,0
29,21,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,3,3,0,10,10,0,6.5,6.5,0.0,0,0,0,0,0,0,78,0.538461538,0.461538462,6,0.027777778,0.0,0,1,0.0,33.33333333,66.66666667,0,0,80.0,0,0,0,0,1,0,3127,4003,142439,0,0,3,0
50,17,0,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0.06,0.0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,3,3,4,13,10,13,7.2,6.5,7.666666667,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1,0,0,86,4003,0,0,1,0,1
41,16,1,2,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,2,2,3,9,9,7,5.0,5.5,4.666666667,0,1,0,0,0,0,432,0.884259259,0.115740741,0,0.2,0.06,0,0,100.0,100.0,0.0,0,0,67.32026144,0,0,0,0,1,0,900,7134,12,0,0,7,0
41,16,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0.170731707,0.0,0,0,0,0,0,3,0,0,0,0,2,0,4,4,3,3,7,9,6,9,6.25,4.5,8.0,0,1,0,0,0,0,87,0.781609195,0.218390805,2,0.052631579,0.052631579,0,1,62.5,0.0,100.0,0,0,0.0,0,0,0,0,0,0,42,5694,320,0,1,6,0
59,42,1,4,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0.016949153,0.023809524,0,0,0,0,0,3,0,0,1,0,0,0,7,1,1,1,9,9,9,9,6.0,5.5,9.0,0,0,0,0,0,0,21,0.19047619,0.80952381,1,0.176470588,0.0,0,1,0.0,20.0,80.0,0,0,25.0,0,0,0,1,1,0,228,5616,0,0,1,5,1
36,19,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,3,6,3,8,8,4,5.25,7.0,3.5,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,1,1,0,0,481,4633,8237707,0,1,0,1
30,21,1,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,3,3,0,7,7,0,5.333333333,5.333333333,0.0,0,0,0,0,0,0,51,0.196078431,0.803921569,0,0.292682927,0.219512195,0,1,7.692307692,0.0,100.0,0,0,94.59459459,0,0,0,1,1,1,136,5614,2713740,0,0,3,0
68,18,0,6,0,1,1,0,1,0,0,0,5,0,1,0,0,0,1,1,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,11,3,2,3,2,7,7,5,4.0,5.0,3.777777778,1,0,0,0,0,0,11,1.0,0.0,0,0.0,0.0,0,0,100.0,100.0,0.0,0,0,100.0,0,0,0,1,0,0,263,4003,4509050,0,1,0,1
